station,cat1,cat2,cat3,total,% cat 1,% cat 2,% cat 3,std (class balance),region,split,latitud,longitud
CR-01,150,153,24,327,45.8715596330275%,46.7889908256881%,7.3394495412844%,22.5160368614067%,CR,train,42.91,-78.93
CR-04,174,152,77,403,43.1761786600496%,37.7171215880893%,19.106699751861%,12.6193562959779%,CR,train,44.15,-79.64
CR-09,176,185,17,378,46.5608465608466%,48.9417989417989%,4.4973544973545%,25.0010497805963%,CR,train,43.19,-79.48
CR-19,109,110,0,219,49.7716894977169%,50.2283105022831%,0%,28.8684162887192%,CR,train,43.94,-78.47
CR-20,181,173,55,409,44.2542787286064%,42.2982885085575%,13.4474327628362%,17.2494421811259%,CR,test,44.37,-79.11
CR-26,175,164,34,373,46.9168900804289%,43.9678284182306%,9.11528150134048%,21.0252174084998%,CR,train,44.11,-78.92
ER-02,173,176,23,372,46.505376344086%,47.3118279569893%,6.18279569892473%,23.516512526926%,ER,train,45.18,-76.05
ER-08,183,74,52,309,59.2233009708738%,23.9482200647249%,16.8284789644013%,22.7022134722273%,ER,train,44.92,-75.2
ER-09,191,170,87,448,42.6339285714286%,37.9464285714286%,19.4196428571429%,12.2754328258895%,ER,train,44.29,-76.57
ER-11,185,165,39,389,47.5578406169666%,42.4164524421594%,10.025706940874%,20.3480356331726%,ER,test,45.48,-76.65
ER-12,154,178,14,346,44.5086705202312%,51.4450867052023%,4.04624277456647%,25.5993891024931%,ER,train,45.89,-77.31
ER-14,184,142,89,415,44.3373493975904%,34.2168674698795%,21.4457831325301%,11.471330609164%,ER,train,45.19,-74.38
ER-16,156,95,44,295,52.8813559322034%,32.2033898305085%,14.9152542372881%,19.0082560672157%,ER,test,45.3,-75.1
ER-17,158,186,32,376,42.0212765957447%,49.468085106383%,8.51063829787234%,21.8171579465831%,ER,train,44.78,-76.11
ER-20,170,182,26,378,44.973544973545%,48.1481481481482%,6.87830687830688%,22.9656448827626%,ER,train,44.33,-78.14
ER-26,164,168,39,371,44.2048517520216%,45.2830188679245%,10.5121293800539%,19.7710931283613%,ER,train,44.62,-77.15
ER-32,329,119,65,513,64.1325536062378%,23.1968810916179%,12.6705653021443%,27.1872177335067%,ER,train,45.08,-75.63
NER-13,171,183,24,378,45.2380952380952%,48.4126984126984%,6.34920634920635%,23.4227850212281%,NE,train,46.01,-79.36
NER-14,131,42,29,202,64.8514851485149%,20.7920792079208%,14.3564356435644%,27.484537423895%,NE,test,46.74,-79.81
NER-15,157,192,54,403,38.9578163771712%,47.6426799007444%,13.3995037220844%,17.8009799121706%,NE,train,46.31,-78.66
NER-21,87,76,50,213,40.8450704225352%,35.6807511737089%,23.4741784037559%,8.92018779342723%,NE,test,48.41,-80.32
NER-39,69,111,29,209,33.0143540669856%,53.11004784689%,13.8755980861244%,19.6191697794983%,NE,train,47.7,-81.73
NER-40,100,95,10,205,48.7804878048781%,46.3414634146342%,4.87804878048781%,24.6731559438919%,NE,train,48.53,-79.62
NER-45,96,65,6,167,57.4850299401198%,38.9221556886228%,3.59281437125748%,27.3773433009746%,NE,train,45.05,-78.72
NWR-04,197,131,52,380,51.8421052631579%,34.4736842105263%,13.6842105263158%,19.1044898591749%,NW,test,49.72,-94.95
NWR-06,171,152,76,399,42.8571428571429%,38.0952380952381%,19.047619047619%,12.5988157669742%,NW,train,48.65,-90.42
NWR-09,146,156,18,320,45.625%,48.75%,5.625%,24.0469376082139%,NW,train,49.79,-86.32
NWR-14,148,50,26,224,66.0714285714286%,22.3214285714286%,11.6071428571429%,28.853702352658%,NW,train,48.9,-90
NWR-25,73,39,6,118,61.864406779661%,33.0508474576271%,5.08474576271187%,28.390884540683%,NW,train,49.71,-87.38
NWR-26,158,147,23,328,48.1707317073171%,44.8170731707317%,7.01219512195122%,22.8563665955902%,NW,train,49.8,-85.71
WR-05,165,139,19,323,51.0835913312694%,43.0340557275542%,5.88235294117647%,24.1115324943647%,WR,train,42.91,-80.76
WR-06,151,142,111,404,37.3762376237624%,35.1485148514851%,27.4752475247525%,5.19408935166242%,WR,train,44.39,-81.42
WR-08,159,178,109,446,35.6502242152466%,39.9103139013453%,24.4394618834081%,7.99142059081161%,WR,test,43.57,-81.42
WR-13,173,171,55,399,43.3583959899749%,42.8571428571429%,13.7844611528822%,16.9316749414081%,WR,train,43.95,-80.72
WR-21,130,163,39,332,39.1566265060241%,49.0963855421687%,11.7469879518072%,19.3436664730876%,WR,train,42.55,-82.36
WR-25,160,163,101,424,37.7358490566038%,38.4433962264151%,23.8207547169811%,8.24572736019012%,WR,train,44.05,-80.79
WR-29,172,190,153,515,33.3980582524272%,36.8932038834951%,29.7087378640777%,3.59267031362535%,WR,train,44.46,-81.37
WR-32,162,168,34,364,44.5054945054945%,46.1538461538462%,9.34065934065934%,20.7946043429109%,WR,train,44.29,-80.6
WR-33,167,172,121,460,36.304347826087%,37.3913043478261%,26.304347826087%,6.11149298992051%,WR,train,45.15,-81.48
WR-38,184,155,127,466,39.4849785407725%,33.2618025751073%,27.2532188841202%,6.11619355167545%,WR,test,44.61,-80.66
